Initial_habitat,Dispersed_habitat,Habitat_pairs,Number,GRT,Sample_size
Alluvial Bench,Alluvial Bench,Alluvial BenchAlluvial Bench,14,45GRT,113
Alluvial Bench,Freshwater Swamp,Alluvial BenchFreshwater Swamp,5,45GRT,113
Alluvial Bench,Lowland Sandstone,Alluvial BenchLowland Sandstone,2,45GRT,113
Alluvial Bench,Peat Swamp,Freshwater SwampPeat Swamp,3,45GRT,113
Freshwater Swamp,Alluvial Bench,Freshwater SwampAlluvial Bench,4,45GRT,113
Freshwater Swamp,Freshwater Swamp,Freshwater SwampFreshwater Swamp,20,45GRT,113
Freshwater Swamp,Lowland Sandstone,Freshwater SwampLowland Sandstone,6,45GRT,113
Freshwater Swamp,Peat Swamp,Lowland SandstonePeat Swamp,4,45GRT,113
Lowland Sandstone,Alluvial Bench,Lowland SandstoneAlluvial Bench,5,45GRT,113
Lowland Sandstone,Freshwater Swamp,Lowland SandstoneFreshwater Swamp,4,45GRT,113
Lowland Sandstone,Lowland Sandstone,Peat SwampLowland Sandstone,28,45GRT,113
Peat Swamp,Alluvial Bench,Peat SwampAlluvial Bench,1,45GRT,113
Peat Swamp,Freshwater Swamp,Peat SwampFreshwater Swamp,6,45GRT,113
Peat Swamp,Peat Swamp,Alluvial BenchPeat Swamp,11,45GRT,113
Alluvial Bench,Alluvial Bench,Alluvial BenchAlluvial Bench,13,60GRT,111
Alluvial Bench,Freshwater Swamp,Alluvial BenchFreshwater Swamp,8,60GRT,111
Alluvial Bench,Lowland Sandstone,Alluvial BenchLowland Sandstone,1,60GRT,111
Alluvial Bench,Peat Swamp,Freshwater SwampPeat Swamp,1,60GRT,111
Freshwater Swamp,Alluvial Bench,Freshwater SwampAlluvial Bench,10,60GRT,111
Freshwater Swamp,Freshwater Swamp,Freshwater SwampFreshwater Swamp,16,60GRT,111
Freshwater Swamp,Lowland Sandstone,Freshwater SwampLowland Sandstone,9,60GRT,111
Freshwater Swamp,Peat Swamp,Lowland SandstonePeat Swamp,1,60GRT,111
Lowland Sandstone,Alluvial Bench,Lowland SandstoneAlluvial Bench,5,60GRT,111
Lowland Sandstone,Freshwater Swamp,Lowland SandstoneFreshwater Swamp,8,60GRT,111
Lowland Sandstone,Lowland Sandstone,Peat SwampLowland Sandstone,22,60GRT,111
Peat Swamp,Alluvial Bench,Peat SwampAlluvial Bench,2,60GRT,111
Peat Swamp,Freshwater Swamp,Peat SwampFreshwater Swamp,5,60GRT,111
Peat Swamp,Lowland Sandstone,Peat SwampLowland Sandstone,1,60GRT,111
Peat Swamp,Peat Swamp,Alluvial BenchPeat Swamp,9,60GRT,111
Alluvial Bench,Alluvial Bench,Alluvial BenchAlluvial Bench,10,80GRT,89
Alluvial Bench,Freshwater Swamp,Alluvial BenchFreshwater Swamp,8,80GRT,89
Alluvial Bench,Lowland Sandstone,Freshwater SwampLowland Sandstone,2,80GRT,89
Freshwater Swamp,Alluvial Bench,Freshwater SwampAlluvial Bench,6,80GRT,89
Freshwater Swamp,Freshwater Swamp,Freshwater SwampFreshwater Swamp,13,80GRT,89
Freshwater Swamp,Lowland Sandstone,Freshwater SwampLowland Sandstone,7,80GRT,89
Freshwater Swamp,Peat Swamp,Lowland SandstonePeat Swamp,2,80GRT,89
Lowland Sandstone,Alluvial Bench,Lowland SandstoneAlluvial Bench,5,80GRT,89
Lowland Sandstone,Freshwater Swamp,Lowland SandstoneFreshwater Swamp,5,80GRT,89
Lowland Sandstone,Lowland Sandstone,Peat SwampLowland Sandstone,17,80GRT,89
Peat Swamp,Alluvial Bench,Peat SwampAlluvial Bench,4,80GRT,89
Peat Swamp,Freshwater Swamp,Peat SwampFreshwater Swamp,3,80GRT,89
Peat Swamp,Peat Swamp,Alluvial BenchPeat Swamp,7,80GRT,89
Alluvial Bench,Alluvial Bench,Alluvial BenchAlluvial Bench,4,125GRT,31
Alluvial Bench,Freshwater Swamp,Alluvial BenchFreshwater Swamp,2,125GRT,31
Alluvial Bench,Lowland Sandstone,Freshwater SwampLowland Sandstone,1,125GRT,31
Freshwater Swamp,Alluvial Bench,Freshwater SwampAlluvial Bench,2,125GRT,31
Freshwater Swamp,Freshwater Swamp,Freshwater SwampFreshwater Swamp,5,125GRT,31
Freshwater Swamp,Lowland Sandstone,Freshwater SwampLowland Sandstone,2,125GRT,31
Freshwater Swamp,Peat Swamp,Lowland SandstonePeat Swamp,1,125GRT,31
Lowland Sandstone,Alluvial Bench,Lowland SandstoneAlluvial Bench,2,125GRT,31
Lowland Sandstone,Freshwater Swamp,Lowland SandstoneFreshwater Swamp,2,125GRT,31
Lowland Sandstone,Lowland Sandstone,Peat SwampLowland Sandstone,6,125GRT,31
Peat Swamp,Freshwater Swamp,Peat SwampFreshwater Swamp,1,125GRT,31
Peat Swamp,Peat Swamp,Peat Swamp,3,125GRT,31
